Questions,Value,Direction
Health condition,0.1326764072649644,-0.006833232954585126
I generally feel that what I do in life is worthwhile,0.06917064124718891,0.004669282070537802
I feel I am free to decide how to live my life,0.04758646172889544,-0.014440445454722022
I am optimistic about the future,0.03875340379889925,-0.0034754998394036004
Can't find the way because life has become so complicated?,0.027528129611718844,-0.0020511273524351434
How much trust the police?,0.02261447094302999,0.007300816511026917
Personal financial situation,0.022574245112037383,-0.004460303092779065
Household able to make ends meet?,0.018876310576680475,-0.0019113939869971552
Quality of education system?,0.018263106302303704,-0.0007808084532462209
Marital status,0.01391250921562465,-0.007713512850299529
Financial situation of your household compared to 12 months ago?,0.011797939364435798,-0.003816851727979258
Can most people be trusted?,0.011653447132357731,0.0037463951935616116
Quality of long term care services?,0.010443661159922327,-0.0003986530557301513
Quality of health services?,0.009956064364441918,0.0004718045981061941
The value of what I do is not recognised by others?,0.00975885839795973,3.402389114591102e-05
Neighbourhood problems - traffic,0.008706942915244669,0.0009568391403682821
Quality of social/municipal housing?,0.007871265875417064,-0.0010109273857169718
I seldom have time to do the things I really enjoy,0.007325262975112254,0.0011747872752376294
Country_Kosovo,0.007288615323063592,-0.007288615323063592
Country_Czech Republic,0.006660474700412946,-0.003579073584151634
Feel left out of sociey?,0.00658283062842516,-0.0008568000790822176
As much time as would like with others (not family)?,0.006408051648176045,-0.000894153529012607
Gender,0.0063626238147012635,0.00046509511027748127
Quality of public transport?,0.006347604797208893,0.0007847174768441789
A person to get advice from about a personal/family matter,0.0062189666737240395,-0.0019652843188066853
A person to get support from when feeling depressed,0.006211866921921741,-0.0012628443509850322
Phone/internet contact with other relatives,0.006139505359046203,6.561747162647941e-05
Likelihood of leaving accom within 6 months,0.005953007095692106,-0.0014459641238118474
Country_Ireland,0.005777671557155096,0.003309089111550249
Household size - over 18,0.0056493828555803476,-6.906674449729841e-05
How frequently use the Internet other than for work?,0.005641364338125897,-0.0012275517761361592
Country_Montenegro,0.005603654462023944,0.005603654462023944
Access to public transport?,0.005492225612531066,0.0009995770454874896
Country_Slovenia,0.005490020381297275,-0.0003053885717992326
Country_France,0.005467914576836512,-5.2834718819246545e-06
Chronic health problems?,0.005450376681860697,0.002229321143618821
Deprivation index: No. of items hhold can't afford,0.005347017716348928,-0.0025426989230974964
Direct contact with other relatives,0.005298442543758298,-0.0004172355204232962
Direct contact with neighbours,0.005288273366340519,-0.0009375924132509269
Household financial expectations for th 12 months?,0.005241293602607897,-2.675935344678174e-05
Country_Poland,0.005125341667388112,0.000283597450944768
How frequently participate in social activities?,0.005104679531081568,6.834523983916875e-06
Access to recreational or green areas?,0.00508132135756232,-0.0005859700924543149
How frequently attend religious services?,0.005007313549379998,0.00041158299147744747
Problems with accommodation - no bath/shower,0.00495935189479381,-0.001792882461547762
Education - 3 groups,0.004908659877255033,0.0002530932455355956
Country_Sweden,0.0048350368737373976,0.0010997502607442127
Age,0.0048278337138387166,-0.00026743366246060246
How much tension between groups with different sexual orientation?,0.004774710680661846,-0.0008613460837529794
Quality of child care services?,0.004773222700456872,0.0007798795453199345
Feel close to people in the area where I live,0.004703618751934492,0.000425186419450345
Country_Italy,0.0046582458913376505,-0.0014783067054017056
Country_Germany,0.004632862280339285,-0.0006895141726315325
Country_Serbia,0.004615413289358924,-0.002432925543770234
Country_Turkey,0.004591867357093116,-0.0009035653266309061
The share of housework you do is?,0.004522195820216487,0.0009767292716953253
Tenure,0.004518341114776233,6.984344443377422e-05
Country_Denmark,0.0045061265954973,0.0006505452612192819
Citizenship - Country,0.004472532460875017,0.00036485661928090986
How often care for your children?,0.004454324007010019,-0.00027014606397646684
Can afford to have friends or family for a drink/meal at least once a month?,0.004431715759798292,-0.00036024023535843663
Can afford to pay for a week's annual holiday away?,0.004429795208139975,-0.0007348915147348644
Phone/internet contact with children,0.004429216361581322,8.615588180922582e-06
Phone/internet contact with parents,0.004392522041333862,0.000269812053556068
Household structure,0.0043837668217862735,-0.0008685947826010919
Volunteering frequency,0.004374044068258371,-0.0003326803722415261
As much time as would like on voluntary work?,0.004318827133366305,-0.0007321017586507516
Neighbourhood problems - air quality,0.0043181858079576465,-0.0012201472003774273
"Can afford to buy new, rather than second-hand, clothes?",0.004249994665617713,-0.00031929533134159385
Problems with accommodation - rot in windows etc.,0.0042027856192950195,-0.0008684207104586961
Country_Croatia,0.004153624219599752,-0.0016426762451787838
People look down on me because of my job situation or income?,0.0041257329666195795,-0.0009966214208468433
How many hours per week would you prefer to work at present?,0.004084411675949484,0.001100506025985431
How frequently take part in sports or exercise?,0.004079651515433083,0.00017849274166535932
How much tension between Poor and Rich?,0.004067328198100649,8.507066974633555e-05
Citizenship - Another EU member,0.0040659725722282936,0.00041569101207033886
Country_Greece,0.003995179354896707,-0.0005949889161001508
No. of rooms in accommodation,0.0038813170737455847,0.0006659155664095656
How much trust the local authorities?,0.0038779763592729217,0.00010360428455115905
Education completed,0.003852568630159425,0.0002844303561149726
Country_Lithuania,0.003821489490808206,-0.0005178809078058471
Employment - 7 groups,0.0038190503315721843,-0.0001698791309727808
As much time as would like on own hobbies/interests?,0.003792870840477736,-0.0006405778545206898
As much time as would like with family members?,0.003788451979417035,0.00036932941793680214
How much trust the parliament?,0.003785194199025078,0.0007851735848096477
Difficult to see a doctor because of lack of time?,0.0037217258879001193,-0.0014263221079152504
How much tension between Management and Workers?,0.00370542340914722,-0.00025489582675992587
Income quartiles,0.0036699352038743003,-0.00019024338566386962
I or someone else in household used long term care in 12 months,0.0036600660010430957,-0.0010524833214435993
Access to postal services?,0.003651554333179842,-0.0005695385708310726
