Questions,Value,Direction
I feel I am free to decide how to live my life,0.08542977141146137,-0.004342794344961958
Health condition,0.08525057293571087,0.00561892134266229
Can't find the way because life has become so complicated?,0.08442359648023931,-0.003532305431520016
How satisfied with education?,0.084221998286686,-0.003730594155514879
I generally feel that what I do in life is worthwhile,0.08201274657431168,-0.00044951442014703146
I am optimistic about the future,0.06887366305926813,0.001106607412177861
Deprivation index: No. of items hhold can't afford,0.06362630195984899,-0.00010156842104079735
Quality of education system?,0.06001938591354828,0.0010327790916846772
Household able to make ends meet?,0.05549861610368324,0.0018712983644663633
Personal financial situation,0.053453421209332205,-0.001674072554223227
How much trust the police?,0.05133606531985256,-0.004766330904923097
The value of what I do is not recognised by others?,0.04803779100999689,-0.0024691719188462318
Can afford to pay for a week's annual holiday away?,0.042761862147322555,-0.004431674722483571
Quality of health services?,0.04193100849093571,0.0010619409314137902
Feel left out of sociey?,0.032429158649919555,-0.001080899585862857
Quality of child care services?,0.031738082705455445,-0.002463761871464963
How much trust the legal system?,0.029934012997283866,0.0007691290258751276
Can afford to replace any worn-out furniture?,0.029081902063082973,-0.00023882225476037645
Quality of state pension system?,0.028523638623711628,7.599909097984788e-05
Quality of long term care services?,0.025685920698560707,0.0003861449512055309
"Can afford to buy new, rather than second-hand, clothes?",0.02377249625795897,0.0030937235373112576
Difficult to see a doctor because of cost?,0.022873036264130283,0.0013999506150503597
I seldom have time to do the things I really enjoy,0.0228381624165551,-0.00262604843134073
Can most people be trusted?,0.02219070656628559,-0.0006244390510084027
Quality of public transport?,0.022144074360321578,-0.0007370181220483484
How frequently take part in sports or exercise?,0.02090063480628335,-0.0009985395355008942
People look down on me because of my job situation or income?,0.02027154503446314,-0.0007879655538266743
Quality of social/municipal housing?,0.017433835370165927,0.00037425120360780155
Neighbourhood problems - air quality,0.017321922093313052,-0.00035349461387152765
"Utility bills, such as electricity, water, gas",0.016842422845760617,0.001483961930656553
Neighbourhood problems - traffic,0.01590121253957305,-0.00013050173758968528
Access to recreational or green areas?,0.01571122268688057,-0.00048629727854310233
Neighbourhood problems - quality of drinking water,0.015545907375992565,-0.0006455045219884082
How much trust the parliament?,0.015373369263816921,0.0007056493269583351
Financial situation of your household compared to 12 months ago?,0.015205402508259145,0.00012342709724890235
How much trust the government?,0.014674300883042793,-0.001681061362823703
Phone/internet contact with other relatives,0.014505808018556934,-0.00011724596927573877
Can afford to have friends or family for a drink/meal at least once a month?,0.013760912116826202,0.0011166043659462362
How frequently use the Internet other than for work?,0.013670776219831949,-0.00016164125245517617
Can afford to keep home adequately warm?,0.013248878725347779,0.0019086089450652212
Household financial expectations for th 12 months?,0.01316555278532043,3.576445510069476e-05
Neighbourhood problems - noise,0.012961951170448951,-0.000870930613890437
Difficult to see a doctor because of waiting time?,0.012811088727294303,0.000564932271821149
How much trust the local authorities?,0.012803652790730967,-0.00022410252196916302
Feel close to people in the area where I live,0.011793060895288759,-0.001101066301713374
Marital status,0.011739759538020178,-0.0011396243836892992
No. of problems with accommodation,0.011655631900812636,0.0014689900571257363
Neighbourhood problems - litter or rubbish,0.011623337824985782,2.121091972627427e-05
No. of rooms in accommodation,0.01132614342919779,-0.001213210037701589
Phone/internet contact with parents,0.010594193582507364,-0.0010210364788062665
Direct contact with other relatives,0.009981025118899617,-0.0005817116878682035
Difficult to see a doctor because of lack of time?,0.009428726784977226,-0.0006594418839817074
A person to get support from to raise emergency money,0.009241301173857472,0.0007102116595105458
A person to get support from when feeling depressed,0.009050629596135853,-0.00020883277310917376
How often care for your children?,0.00881366067857901,6.790355555380477e-05
Household structure,0.00869338854377946,-0.0005515779145127032
Likelihood of leaving accom within 6 months,0.008662648312323688,-0.00041284518001571426
Access to public transport?,0.008630167310524732,-0.00019854696265070288
Difficult to see a doctor because of delay in getting appointment?,0.008354348204823584,0.0001279284811523805
A person to get advice from about a personal/family matter,0.00825813758116074,0.0005279859995395076
Income quartiles,0.008086210674677406,8.708635631572551e-05
Difficult to see a doctor because of distance?,0.007897719232332312,-0.00048375697056407595
Phone/internet contact with neighbours,0.007717808112448653,-0.0002513726564223391
Can afford a meal with meat/chicken/fish every second day?,0.007654139998796793,-0.00013106695811458823
Direct contact with neighbours,0.007561091015644054,0.0006838624311855813
Household size - over 18,0.007310018847398295,-0.00021299972791142085
How frequently participate in social activities?,0.007226893192845307,-0.0002914767397164922
As much time as would like on own hobbies/interests?,0.007059344399619209,-0.00012407735244335507
"Access to cinema, theatre and cultural centre?",0.007052199996079722,-0.0004185461539160248
No. of children,0.006779146926044369,0.0003374384857285865
"Neighbourhood problems - crime, violence or vandalism",0.006637556478795393,-6.599335661477641e-05
Tenure,0.0066337757390170955,-0.00012967736866934768
How many hours per week would you prefer to work at present?,0.006496403958498008,-0.000517837871022065
Access to postal services?,0.006413236612946851,-0.000520436265850045
How often cook and doing housework?,0.006134097152445654,-0.00048363600645450947
How much tension between Management and Workers?,0.005676064034349623,-0.00037666372316978773
Age,0.005526402608149248,0.00015715470448407823
Chronic health problems?,0.005421378259206954,-7.693371478679776e-05
Access to banking services?,0.005384395826063468,0.0003313257486402875
Direct contact with parents,0.0051803033728739425,-0.0005105460302627997
As much time as would like with others (not family)?,0.0051073165533266325,-6.417600784283808e-05
Education completed,0.0050961337740296165,-0.0003892444247194682
Rural/urban living,0.0049900022360091795,-0.00016844264132725344
How much tension between Men and Women?,0.004945572327148196,4.551401167837129e-05
How much trust the press?,0.004871312335355094,-0.0012455980679550226
The share of housework you do is?,0.0047801301424939425,-0.00011824893582476255
Employment - 7 groups,0.004691842520523759,-0.0001687643901692778
Direct contact with children,0.00441922119070492,-0.0004842382305157273
As much time as would like on voluntary work?,0.004392587429311648,-0.00018456099918995837
As much time as would like with family members?,0.004389120160284752,0.00016389714652495776
How much tension between groups with different sexual orientation?,0.004261971777723039,-0.0006934891802070915
A person to get support from to help around house ,0.004205583647701203,0.00038906075652095633
Phone/internet contact with children,0.004196236517082273,-0.00020436792638101644
Problems with accommodation - rot in windows etc.,0.0041665680370751934,0.00039589039302062807
How frequently attend religious services?,0.004023096969347674,-0.0005689596842738406
Rent/mortgage payments for accommodation,0.003973946759013162,-0.00010106316306787586
Nobody used long term care in 12 months,0.003817959324780368,0.00018278753157538883
Education - 3 groups,0.003799186960564742,5.691803428353876e-05
Problems with accommodation - space,0.003601015725566135,-0.00014119778304234193
How much tension between different religious groups?,0.0035517023672016206,4.556551512208899e-05
How much tension between Old and Young people?,0.0035485210164724183,-5.275893926073752e-05
A person to get support from when looking for a job,0.003347471661325607,-0.000569674938217691
How much tension between different racial/ethnic groups?,0.003258109276670674,-0.00026494576782694346
Problems with accommodation - damp or leaks,0.0032503219645788933,0.0006460896306040337
Household size,0.0030194448114631576,-0.0004096635751927323
Country_Kosovo,0.0028950147252697163,0.001158115887631314
How much tension between Poor and Rich?,0.002881092185563206,0.00020593446351519642
Gender,0.0028105018814639916,-0.0001626951300258949
Volunteering frequency,0.002746905718386501,-0.0005617839320566391
How often care for elderly or disabled relatives?,0.0024831006075536183,-0.0005991063701025867
Country_Germany,0.0024630138940158444,0.0003289595097902115
Payments for consumer loans/credit cards,0.002450715182681544,0.00024149623662007478
DV: Rural/urban living,0.002367388967068649,-0.0003721056943535285
Country_Iceland,0.0023426020368848273,-0.000673920267701077
Payments for informal loans from friends/relatives,0.002296068589392761,8.025708482726088e-05
Problems with accommodation - no outside space,0.0022846520422973647,-2.9567102982776813e-05
Nobody used child care in 12 months,0.0022529021426495733,1.5851026161002443e-05
Country_Czech Republic,0.002240852182076115,-8.566282716216229e-06
Country_Turkey,0.0021465788899492004,-1.860402237973858e-05
Country_Italy,0.0020769637544534613,0.00034138128166113124
Long term care used in 12 months - don't know,0.00182199020305268,0.0007535576361790533
Country_Portugal,0.0018188436713864665,0.0006108488784668407
I or someone else in household used child care in 12 months,0.0017048715530053058,-0.00011995703575227293
Problems with accommodation - no toilet,0.001647833648095332,0.0002760512595467658
Country group,0.0015912293532863919,-0.00010724407228215619
Someone close outside household used long term care in 12 months,0.001519009397647689,-9.055345799556089e-06
I or someone else in household used long term care in 12 months,0.0014645454611399197,0.00035769626262192834
Problems with accommodation - no bath/shower,0.0013324281305112636,0.00046313765665729356
Country_Romania,0.0012615714293540245,0.00024978365300977516
Someone close outside household used child care in 12 months,0.0011841267574240451,-0.00020232155929316887
Country_Greece,0.0011748460343885606,0.00041501506152669365
Country_Slovakia,0.0011544327373400642,-7.607293887600464e-05
Country_France,0.0010361964565961444,-0.0002144863359520127
Country_Montenegro,0.0010188412297847803,-0.000423675094305598
Country_Serbia,0.000990195248556172,-6.206048540123757e-05
Country_Macedonia (FYROM),0.0009872014723921513,6.294645046324058e-05
Child care used in 12 months - don't know,0.0009508587980397767,0.0005049167304417546
Citizenship - Country,0.000786939670226843,-0.0001159923588272134
Country_Poland,0.0007506595218188444,-0.00034686213243392594
Country_Slovenia,0.0007378592948923384,0.0002890478855895048
Country_Croatia,0.0007310457436017045,-9.13461206510551e-05
Country_Ireland,0.000650138666918416,-0.0002034867095284813
Country_Hungary,0.0005910436661010125,-0.00017003729831364977
Country_Sweden,0.0005555728064699359,4.363938166003945e-05
Country_Finland,0.0005435965417451795,-0.0001851269003243249
Country_Luxembourg,0.0005403698365758966,0.00017580373366101246
Citizenship - Another EU member,0.0005132254911771005,-8.961645138927164e-05
Country_Denmark,0.000501033240445735,-3.3068013711426135e-05
Country_Malta,0.00046708999055413406,0.0001794518555550802
Country_Cyprus,0.0004529662785195626,-0.00018868143987409825
Country_Spain,0.00042704454045772736,0.00011548264136561822
Country_UK,0.00040178648386007636,-0.00010958895882715198
Country_Estonia,0.0003875779183820874,0.00014192187132250366
Citizenship - A non-EU country,0.00038033063592114567,5.2211428886167865e-05
Country_Netherlands,0.0003767939845771175,0.0001225291062934706
Country_Bulgaria,0.00036981080787212216,9.33073746557936e-05
Country_Belgium,0.0003328564406695714,1.6185676218795074e-06
Country_Latvia,0.0002901402427298427,0.00017306741406803195
Country_Lithuania,0.00028021283752833993,5.6016078583935204e-05
Child care used in 12 months - refusal,0.0001457420895440682,0.00013640072727983651
Long term care used in 12 months - refusal,3.7247131919966715e-05,1.4528196133466624e-05
