Questions,Value,Direction
Health condition,0.08781654811485476,0.005309969323766915
Can't find the way because life has become so complicated?,0.08775621588688176,-0.0049228529475477375
I feel I am free to decide how to live my life,0.08256521782860163,-0.003439405968066042
I generally feel that what I do in life is worthwhile,0.07674374185163024,-0.0011573439210100073
I am optimistic about the future,0.07406882856906007,0.0016658823403992902
Household able to make ends meet?,0.07015025308272503,-3.51475474253834e-05
Deprivation index: No. of items hhold can't afford,0.06537299357730834,0.0016627556912638026
Quality of education system?,0.06281095442099353,0.0013395375878055187
How much trust the police?,0.0472400487770663,-0.00358459770782028
Personal financial situation,0.0466453939339234,-0.00030660126366291495
The value of what I do is not recognised by others?,0.04372716239550965,-0.0024746933967919275
Quality of health services?,0.04056477911984452,-3.4085485596948716e-05
Can afford to replace any worn-out furniture?,0.03937224011105513,-0.0007342955854482458
Feel left out of sociey?,0.0393306658317176,-0.0013339047368380937
Quality of child care services?,0.036676940459965335,-0.0036158108426035374
Quality of state pension system?,0.035608990664109386,-0.0010453698185753295
Can afford to pay for a week's annual holiday away?,0.03192566940231527,-0.002537660418701731
How much trust the legal system?,0.028606766009326004,0.0007400392332012056
Quality of long term care services?,0.02833775256137484,0.0008563405862208612
Can most people be trusted?,0.026267376712239193,-0.0006226219379415056
I seldom have time to do the things I really enjoy,0.024519695688412377,-0.00243556757975248
How frequently take part in sports or exercise?,0.024033840836973595,-0.0006821294849001973
"Can afford to buy new, rather than second-hand, clothes?",0.02235209192274391,0.002407621567431032
People look down on me because of my job situation or income?,0.022252503400112235,-0.000799318302232197
Quality of public transport?,0.022129663936110214,-0.001370023136592399
Access to recreational or green areas?,0.020204369997157492,-0.0009080543591972056
Difficult to see a doctor because of cost?,0.019488336792589305,0.001152100918624307
Quality of social/municipal housing?,0.017940684129061663,-0.0007227688743479708
Household financial expectations for th 12 months?,0.01691773121331676,-0.0002922333788060043
Neighbourhood problems - quality of drinking water,0.016884155973050454,-0.0007662201833658449
Financial situation of your household compared to 12 months ago?,0.016319359033729407,-0.0004551686529193388
"Utility bills, such as electricity, water, gas",0.016030532440888475,0.0009255578021929581
Neighbourhood problems - traffic,0.01581814328210269,-0.0005904527679390386
Can afford to have friends or family for a drink/meal at least once a month?,0.015667806315813847,0.0010740877350431453
Neighbourhood problems - air quality,0.015319186351708855,-4.33703684496808e-05
Feel close to people in the area where I live,0.014792915913020432,-0.0015463938752589485
How much trust the parliament?,0.014706207913533836,0.00032792508919999333
How much trust the local authorities?,0.014491441512468421,-0.00035725579090913957
Neighbourhood problems - litter or rubbish,0.01437627595474319,0.00020403765960820742
Neighbourhood problems - noise,0.013930811905551626,-0.0008674754880911259
How frequently use the Internet other than for work?,0.013897491757501934,0.0009415019950619116
Phone/internet contact with other relatives,0.013844811786095833,-0.00015904098761100266
How much trust the government?,0.013735563884032825,-0.0007470881814654823
Marital status,0.013437690108774833,-0.0010204685306273102
Can afford to keep home adequately warm?,0.011907582338383228,0.0018598472764343817
Difficult to see a doctor because of waiting time?,0.011825717605671115,0.00028852188406157007
Phone/internet contact with parents,0.01086178101206964,-0.0009044356374505324
How often care for your children?,0.01061387917335786,-0.0008178285117409663
Likelihood of leaving accom within 6 months,0.010445849751275226,-0.00018303652680374651
Difficult to see a doctor because of delay in getting appointment?,0.010169331132010493,0.0001720724411976473
A person to get support from to raise emergency money,0.009938499539896723,0.001102414669272435
Access to public transport?,0.009775470170148253,-0.0006463831992917775
Difficult to see a doctor because of lack of time?,0.009643562088932236,-0.0005178900329382499
Direct contact with other relatives,0.009521946183243698,-0.0006381473733189366
Can afford a meal with meat/chicken/fish every second day?,0.009441880566769895,0.0006066121353963697
Income quartiles,0.008962013476974685,-0.00015174652256693536
A person to get support from when feeling depressed,0.008562634744426038,-0.0004988845022294431
No. of problems with accommodation,0.00827257737389441,0.0010248327448768007
Direct contact with neighbours,0.008169641973852036,0.0008751759392858739
Household size - over 18,0.00787306852369714,-0.00025955788601160517
Household structure,0.007819790819259343,-0.001157866322184191
No. of rooms in accommodation,0.0077964143723212665,-0.0002758918226801919
How often cook and doing housework?,0.007647750305461427,-0.00010222970398213634
A person to get advice from about a personal/family matter,0.007595543458035201,0.0004626523633633139
Difficult to see a doctor because of distance?,0.007523848383795936,-0.0003313434805301492
Access to postal services?,0.007279799466775735,-0.000134264778235231
How many hours per week would you prefer to work at present?,0.007271247568118827,-0.0003019950664742205
How frequently participate in social activities?,0.007263508496207687,-0.00047634423448312223
As much time as would like on own hobbies/interests?,0.007007113950202985,-0.00044444192959934895
Phone/internet contact with neighbours,0.006878521171949585,0.00014660456819719697
No. of children,0.006835578148022656,-0.00035052013164690664
"Neighbourhood problems - crime, violence or vandalism",0.006807926008370204,0.00026865532094929147
Education completed,0.006737068877931835,-0.0005601931943827146
Access to banking services?,0.006528678638514271,0.00027283225986219094
How much tension between Management and Workers?,0.0064889864403789065,-0.00038280186313482777
"Access to cinema, theatre and cultural centre?",0.006440931513025744,-0.0005842720370639935
Tenure,0.006118779241256611,-0.00035371057761243767
As much time as would like with others (not family)?,0.0060521775627507155,-6.401907208389926e-05
Direct contact with parents,0.0060363421037570265,-0.0007449313071261389
Employment - 7 groups,0.005879623109522345,-0.00042628981893495766
Problems with accommodation - rot in windows etc.,0.005776593457993894,0.00029244628595630505
Direct contact with children,0.0054731872684722765,-0.0006067862717240181
How much tension between Men and Women?,0.005239427765007246,0.0001655681446163724
How much trust the press?,0.005129857963312772,-0.0006507072760957568
Age,0.004905531347639567,-1.9391123379012693e-05
A person to get support from to help around house ,0.0048834135778059486,0.0001187358176264834
Rural/urban living,0.0048141658711471635,-0.0004893894878300101
As much time as would like on voluntary work?,0.004481675241643775,-0.0001173686552169007
The share of housework you do is?,0.004251594081696311,-0.00030093944375296717
Education - 3 groups,0.004099126016750566,0.00025262296077728166
How much tension between Old and Young people?,0.004002278183852466,-0.00010401411483537183
Phone/internet contact with children,0.003976297045311454,-0.0007595030347993549
Problems with accommodation - space,0.003954698471559591,7.770158924791169e-05
Problems with accommodation - damp or leaks,0.003941913502046926,0.00019562096797664163
How frequently attend religious services?,0.0036916124871915505,-1.6413636967042615e-05
How much tension between groups with different sexual orientation?,0.0035850879855722976,-0.0005853613467079327
