Questions,Value,Direction
How satisfied with family life?,0.23034629161718226,-0.002919574684489951
How satisfied with present standard of living?,0.22289844379129015,-0.01269310127394109
How satisfied with social life?,0.16684518034077156,-0.006090565673269899
How satisfied with health?,0.12900476318779364,0.006451552696691857
How satisfied with accommodation?,0.09879550362131322,-0.0021784034593695938
I am optimistic about the future,0.0631819774805707,0.0036272649996255085
I generally feel that what I do in life is worthwhile,0.06285506203816027,0.0008752286082309134
Can't find the way because life has become so complicated?,0.061854082324777716,-0.0018805126885280284
Health condition,0.05800564483593053,0.002995415263696411
I feel I am free to decide how to live my life,0.05424971067352873,-0.004103522637961164
Household able to make ends meet?,0.05260441006209776,0.0021813982220222875
Deprivation index: No. of items hhold can't afford,0.04620524779641523,0.002784018651011502
Quality of education system?,0.03743477191884253,7.278069997245778e-05
How satisfied with education?,0.03598518606925278,-0.0012058276191031477
How much trust the police?,0.03530591857828245,-0.0038941276064254986
How satisfied with economic situation in the country?,0.031235928828195546,-0.0020546976385762334
Can most people be trusted?,0.03041485480941303,0.0003564350405177651
Personal financial situation,0.029111844860587932,-0.000661381471568866
Quality of health services?,0.027109759384512364,0.0024102228451417123
The value of what I do is not recognised by others?,0.026124294048007295,-0.0025037935714482297
Feel left out of sociey?,0.022743417640133667,-0.0002017144251448153
How much trust the legal system?,0.02029246895407492,-8.236360550189795e-05
Quality of state pension system?,0.019020486345903174,-0.0013935823369990918
Neighbourhood problems - traffic,0.016950728266263457,-0.0009040520872051842
Difficult to see a doctor because of cost?,0.01647030474573025,0.0017868397382816317
Phone/internet contact with parents,0.01610012813215347,-0.001173136767553169
How much trust the parliament?,0.01569165359591762,0.0009289136304819261
How often care for your children?,0.015670868246536594,-0.0007830955415116315
Neighbourhood problems - air quality,0.015450981948184476,0.000418379886494191
Access to recreational or green areas?,0.015384889603420798,-0.0003786906788608463
Quality of child care services?,0.015294792652133888,-0.0014637565105796958
Access to public transport?,0.015043907953797534,-0.00037698913674430755
I seldom have time to do the things I really enjoy,0.014987167931052058,-0.0013904813930998568
Phone/internet contact with other relatives,0.014694680028413617,-0.00013611030482530364
Quality of long term care services?,0.014379389780400409,-0.0005215852403595894
Neighbourhood problems - quality of drinking water,0.01387392754262273,-0.0013257749360549888
Marital status,0.013552928336881985,-0.000791572555695013
Financial situation of your household compared to 12 months ago?,0.013150781913795548,0.0003051384935511718
People look down on me because of my job situation or income?,0.012084001007280494,-0.0015243638317573793
A person to get support from when feeling depressed,0.011737634917959537,3.617548653816155e-05
Neighbourhood problems - noise,0.011196450087001333,-0.0015931438960080707
Quality of social/municipal housing?,0.011096292273317633,-0.0016118960691601627
How much trust the local authorities?,0.011019382287400398,-0.0007946451975713211
Quality of public transport?,0.010943733139831944,-0.001692639914573884
Neighbourhood problems - litter or rubbish,0.010818405592763747,-0.0003532131767822126
How many hours per week would you prefer to work at present?,0.008977412594609352,-0.0010410353616283447
Direct contact with other relatives,0.008807963939199961,-0.0011565606113445725
