Questions,Value,Direction
How satisfied with present standard of living?,0.32973418,-0.000634038
How satisfied with family life?,0.32307905,-0.011252609
How satisfied with social life?,0.18487416,-0.0019359069
How satisfied with health?,0.09696164,0.006326629
Health condition,0.096503705,0.007491195
I am optimistic about the future,0.09455051,0.0075268727
I generally feel that what I do in life is worthwhile,0.078888,-0.0034744483
I feel I am free to decide how to live my life,0.061666235,-0.0045502335
Can't find the way because life has become so complicated?,0.05483442,-0.0010974124
Neighbourhood problems - traffic,0.041349888,0.00032135064
Can most people be trusted?,0.036465704,0.000715609
Quality of education system?,0.034202877,0.0006942284
Personal financial situation,0.030214809,0.0049171573
Access to recreational or green areas?,0.029072583,-8.000326e-05
Household able to make ends meet?,0.02457392,0.0014250643
Neighbourhood problems - quality of drinking water,0.02222528,-0.0012509638
Phone/internet contact with parents,0.022070318,-0.00047850682
How often care for your children?,0.021976845,0.00013048542
I seldom have time to do the things I really enjoy,0.020741688,-0.0006205044
Gender,0.020152306,0.0013747228
Neighbourhood problems - air quality,0.01908667,0.0006203382
How satisfied with accommodation?,0.01818432,0.0009192796
Quality of social/municipal housing?,0.017795239,-0.0005826733
How much trust the legal system?,0.015935117,0.001245178
The value of what I do is not recognised by others?,0.01582643,0.0010330196
A person to get support from when feeling depressed,0.015680844,-0.00022830893
Access to public transport?,0.014380168,0.00037925265
How much trust the police?,0.014329185,-0.0018466987
No. of children,0.014132208,-0.00035573263
Deprivation index: No. of items hhold can't afford,0.0138771925,-0.00032666363
How often care for elderly or disabled relatives?,0.013417227,-0.0006992665
Marital status,0.013403593,-0.0016780337
Country_Kosovo,0.013257169,0.0012550509
Quality of child care services?,0.01260932,0.0003041811
How much trust the press?,0.012220419,0.00015382687
Quality of long term care services?,0.011813016,0.00075922813
Phone/internet contact with other relatives,0.011430139,0.0002318667
"Access to cinema, theatre and cultural centre?",0.010735527,-0.00084014103
How many hours per week would you prefer to work at present?,0.010340817,0.0007590719
Country_Poland,0.00935312,-0.0014448902
Quality of state pension system?,0.009294412,0.0015006954
Quality of health services?,0.009012082,0.0010505301
Quality of public transport?,0.00846455,0.00028519362
How satisfied with economic situation in the country?,0.008251359,0.0012737782
Difficult to see a doctor because of cost?,0.008051196,0.0011403024
How much trust the parliament?,0.007507989,0.0015348459
How satisfied with education?,0.007256872,0.0007781326
As much time as would like on own hobbies/interests?,0.00707575,-5.9093316e-05
How frequently participate in social activities?,0.006915755,0.0004768282
Direct contact with other relatives,0.0068744794,0.0004105599
Chronic health problems?,0.006856858,0.00073128106
How much trust the government?,0.006332855,-5.9452934e-05
Country group,0.005696593,-0.00026561925
Country_Romania,0.0056538684,-0.0006047681
How often cook and doing housework?,0.0056476537,-0.0005492837
Age,0.005329253,0.00010957383
Country_Montenegro,0.0051962915,0.0009941182
No. of rooms in accommodation,0.005122791,-0.00028504015
How much tension between Old and Young people?,0.0050782966,-4.9436407e-05
Household size - over 18,0.0049440158,0.00021952477
Long term care used in 12 months - don't know,0.004879465,0.00068782945
Access to banking services?,0.004797528,0.00032500093
How much tension between Men and Women?,0.0046165804,0.0001970577
Financial situation of your household compared to 12 months ago?,0.0046029934,-0.000519148
A person to get advice from about a personal/family matter,0.004540852,0.000114901224
Country_Portugal,0.004525767,0.0009408287
Direct contact with parents,0.0043634353,-0.00044799628
Country_Greece,0.004131992,0.0007131098
Feel left out of sociey?,0.004058082,0.00011258057
Rural/urban living,0.00350742,0.00023684397
A person to get support from to raise emergency money,0.0033626424,4.0790816e-05
"Can afford to buy new, rather than second-hand, clothes?",0.003181707,0.000106352556
How much trust the local authorities?,0.003162931,0.00010122183
Country_Hungary,0.003114454,-0.0011688368
Country_Croatia,0.002710811,-0.00011773583
Problems with accommodation - no toilet,0.0026570498,-0.00013390655
Difficult to see a doctor because of distance?,0.0026268952,-0.00010080537
How frequently take part in sports or exercise?,0.0026219056,0.00016713404
Direct contact with children,0.0023880722,0.00023392921
Household financial expectations for th 12 months?,0.002380821,0.0002460354
People look down on me because of my job situation or income?,0.0023237788,0.00041701744
Country_Turkey,0.002316296,0.00021651966
Tenure,0.0021746308,3.8302445e-05
As much time as would like with others (not family)?,0.0018550159,-3.586723e-05
Feel close to people in the area where I live,0.0018244794,-3.669541e-05
Phone/internet contact with neighbours,0.001821726,0.00015680403
I or someone else in household used long term care in 12 months,0.0017955627,-0.00019112311
How much tension between groups with different sexual orientation?,0.0017815648,-0.00032733098
Neighbourhood problems - litter or rubbish,0.001779662,0.0001681224
"Neighbourhood problems - crime, violence or vandalism",0.0017634867,1.276664e-05
No. of problems with accommodation,0.0017377441,0.0006053621
Neighbourhood problems - noise,0.0016274848,6.582353e-05
Country_Estonia,0.0015693681,-3.514081e-06
Country_France,0.0014673601,7.1458446e-05
A person to get support from to help around house ,0.001448723,-0.000159769
A person to get support from when looking for a job,0.0014101556,7.936074e-05
Education completed,0.0013902057,0.00020478618
"Utility bills, such as electricity, water, gas",0.0013693325,0.0003981386
Phone/internet contact with children,0.0013559163,-0.0002752783
Likelihood of leaving accom within 6 months,0.0013485852,0.00032890186
Payments for informal loans from friends/relatives,0.0012987825,3.1056627e-06
Country_Italy,0.0012768937,-0.00024427247
How frequently attend religious services?,0.0012645768,-0.00013287774
Country_Belgium,0.0012079342,-8.319513e-05
Can afford to pay for a week's annual holiday away?,0.0011609958,2.9722053e-06
How much tension between different racial/ethnic groups?,0.0011097755,0.0004322035
Country_Slovenia,0.0010802742,-5.8619138e-05
As much time as would like with family members?,0.0010439176,-0.00016183215
Employment - 7 groups,0.0010408254,-0.00017322572
Country_Iceland,0.0010389477,-9.901995e-05
Country_Malta,0.001033487,-0.00022541854
How frequently use the Internet other than for work?,0.0010327862,-0.00010139177
Country_Macedonia (FYROM),0.000998215,0.00012143981
Can afford a meal with meat/chicken/fish every second day?,0.0009555925,0.00048372513
The share of housework you do is?,0.0008491448,-0.00028274438
Can afford to replace any worn-out furniture?,0.0008023618,-4.1151976e-05
Country_Czech Republic,0.0007043736,-0.00011597271
Country_Germany,0.00064986025,-8.771733e-05
Country_Slovakia,0.0006434582,-0.00014249457
Difficult to see a doctor because of delay in getting appointment?,0.0006328713,-1.8703711e-05
Citizenship - Another EU member,0.000630738,4.6955236e-05
Income quartiles,0.0005970624,0.00013810376
Nobody used child care in 12 months,0.0005875238,9.55667e-06
How much tension between Management and Workers?,0.00046749072,-0.00012210723
Direct contact with neighbours,0.00046363304,6.435734e-05
How much tension between Poor and Rich?,0.00040619425,8.806589e-06
Problems with accommodation - no outside space,0.00034720317,4.1185413e-05
Problems with accommodation - rot in windows etc.,0.00034069718,-9.22451e-05
Problems with accommodation - no bath/shower,0.0003143719,4.6189365e-05
Country_Serbia,0.0002985538,-1.8819868e-05
Can afford to keep home adequately warm?,0.00029787497,9.494568e-05
Difficult to see a doctor because of waiting time?,0.00027047982,0.00014725605
Household structure,0.00026495702,-9.107134e-05
Country_Denmark,0.00016204764,-5.033142e-05
As much time as would like on voluntary work?,0.00014593183,5.1683943e-05
Difficult to see a doctor because of lack of time?,9.044546e-05,1.3700696e-05
Country_Latvia,5.5661665e-05,-5.5163502e-05
Volunteering frequency,5.524877e-05,-6.500764e-06
Someone close outside household used child care in 12 months,4.9254297e-05,3.8781154e-06
Household size,3.4664514e-05,-7.3757724e-06
Citizenship - A non-EU country,0.0,0.0
Citizenship - Country,0.0,0.0
DV: Rural/urban living,0.0,0.0
Problems with accommodation - damp or leaks,0.0,0.0
Problems with accommodation - space,0.0,0.0
Education - 3 groups,0.0,0.0
How much tension between different religious groups?,0.0,0.0
Access to postal services?,0.0,0.0
I or someone else in household used child care in 12 months,0.0,0.0
Child care used in 12 months - don't know,0.0,0.0
Child care used in 12 months - refusal,0.0,0.0
Nobody used long term care in 12 months,0.0,0.0
Someone close outside household used long term care in 12 months,0.0,0.0
Long term care used in 12 months - refusal,0.0,0.0
Rent/mortgage payments for accommodation,0.0,0.0
Can afford to have friends or family for a drink/meal at least once a month?,0.0,0.0
Payments for consumer loans/credit cards,0.0,0.0
Country_Cyprus,0.0,0.0
Country_Finland,0.0,0.0
Country_Ireland,0.0,0.0
Country_Bulgaria,0.0,0.0
Country_Luxembourg,0.0,0.0
Country_Lithuania,0.0,0.0
Country_Netherlands,0.0,0.0
Country_Spain,0.0,0.0
Country_Sweden,0.0,0.0
Country_UK,0.0,0.0
