Questions,Value,Direction
How satisfied with present standard of living?,0.46211980283435766,-0.0016293803074172014
How satisfied with family life?,0.36321693169043556,-0.017933456771366554
How satisfied with social life?,0.16231780051712005,0.006216280888932297
How satisfied with health?,0.09971058602541787,0.009026458199990053
I am optimistic about the future,0.07472556335254874,0.008198923057831682
Health condition,0.057084678273574344,-0.0004021153461436354
I generally feel that what I do in life is worthwhile,0.05085081108048121,0.0007230812064094093
I feel I am free to decide how to live my life,0.03373607485531244,-0.0026410139066254893
Can most people be trusted?,0.02992875227172664,0.002087684520638924
Can't find the way because life has become so complicated?,0.025877237948730366,7.517531785558609e-05
Personal financial situation,0.0223174766977078,0.002154162118122817
How satisfied with accommodation?,0.020184324929145493,0.0022114224958321624
Quality of education system?,0.018617435952090904,-0.0015098689186842688
How much trust the police?,0.0178046666619333,-0.001368812222986841
Deprivation index: No. of items hhold can't afford,0.017045996681982676,-0.0014846054231394733
Feel left out of sociey?,0.01627482844692979,-0.002242951325378399
How satisfied with economic situation in the country?,0.015401734053454297,-0.004570894693148085
The value of what I do is not recognised by others?,0.014372332322327111,-0.0007901320172525257
Quality of health services?,0.014163463055572464,-0.00019796880286327806
Household able to make ends meet?,0.013015778550155637,-0.001242877064836812
How satisfied with education?,0.012788171724161402,-0.001027925147385554
How much trust the parliament?,0.012628841658455405,-0.00011398937257427598
Access to recreational or green areas?,0.012183890789762753,-0.0014415565118924886
Quality of long term care services?,0.011700072628211333,-0.0016392264514826244
Neighbourhood problems - traffic,0.011690725242313599,-0.00030843389412670604
Neighbourhood problems - air quality,0.01095286387965883,-0.00013809723747864913
Neighbourhood problems - quality of drinking water,0.01066189918457294,-0.0006983667506988453
Difficult to see a doctor because of cost?,0.010562175004026071,0.0005169333632663365
Quality of state pension system?,0.010338069748727296,-0.0007985812402505546
Quality of social/municipal housing?,0.009369718372147808,-0.001234572611147273
How much trust the government?,0.009221471269600176,-0.0016484225813245285
Phone/internet contact with other relatives,0.009221024324905649,-0.0008429295481262813
How much trust the legal system?,0.008885329820421752,-0.00041631528840487355
How often care for your children?,0.008837258346410663,-0.0009932625592760473
Marital status,0.008739148992387445,-0.0010483095202151547
Access to public transport?,0.008456650456049418,-0.0004694631644512972
How frequently use the Internet other than for work?,0.008431441688232016,-0.00025101364110777447
Household size - over 18,0.008255907090793121,4.838945864174392e-05
Quality of child care services?,0.00813051462103597,0.00023386415500339225
Household financial expectations for th 12 months?,0.008098260769892455,-0.0006050823646408806
How much trust the local authorities?,0.008077654791559297,-0.00031136615430854065
How often cook and doing housework?,0.007764016519611487,-0.00010411318427304445
People look down on me because of my job situation or income?,0.007738243940274428,-0.000423478947967373
Phone/internet contact with parents,0.007637446535581182,-0.0010043073921181115
Quality of public transport?,0.007632160877641942,0.0003687056624664543
A person to get support from when feeling depressed,0.007557088348604441,-4.790154786425062e-05
Neighbourhood problems - noise,0.007538168506212936,-0.000493513730701758
How frequently take part in sports or exercise?,0.007502302256452536,-3.831754787778709e-05
I seldom have time to do the things I really enjoy,0.007496974754298108,-0.0006138375178589485
A person to get support from to raise emergency money,0.007489602496328787,-0.00010911194862497929
How much trust the press?,0.007441498834297221,-0.0008611272500113291
Direct contact with other relatives,0.007316184933700008,-0.0007033284468750642
Age,0.007062094252511393,-0.001018047637014079
How many hours per week would you prefer to work at present?,0.006888588574752901,-0.0004941187744818657
Phone/internet contact with neighbours,0.0067083764089337266,-0.00031442668111082787
Access to banking services?,0.006682135928143716,-9.27557569849503e-05
"Access to cinema, theatre and cultural centre?",0.0066055361932154475,-0.0013561795268439748
Financial situation of your household compared to 12 months ago?,0.006467835946631556,1.605254386323132e-05
Neighbourhood problems - litter or rubbish,0.006058476048214013,0.00019824453585084496
Tenure,0.005814398065535005,0.00016660346481371226
Direct contact with neighbours,0.0056244237017375074,-0.0002831342741518139
Feel close to people in the area where I live,0.0054780944768459735,8.166465203642484e-05
Direct contact with children,0.005231430254366708,-0.00014259422118233185
No. of rooms in accommodation,0.005212545355815981,-0.001134614783639503
No. of children,0.005143909857658124,-0.0003246811203594812
Access to postal services?,0.005098657885679242,1.3900753682578525e-05
How much tension between Men and Women?,0.005085293081858211,-0.00023172927025048612
How frequently participate in social activities?,0.004856742850596162,0.0002876539900523941
Gender,0.00471193002807386,0.00048019299730457123
Direct contact with parents,0.004697107193591051,-0.0006442159426643402
Rural/urban living,0.004624588501881649,0.000214560218375349
Long term care used in 12 months - don't know,0.0045721722912217,0.0002136438783581736
Education completed,0.004555524900946039,-0.000618725098725143
The share of housework you do is?,0.004522326366808677,-4.687127267747493e-05
Income quartiles,0.004455645302040934,0.00038311968471718515
A person to get support from when looking for a job,0.004427133160088922,9.717136133288223e-05
Phone/internet contact with children,0.004359233018938734,3.1524401075907734e-05
Difficult to see a doctor because of waiting time?,0.004235588368114948,-8.76970615536402e-05
Country_Turkey,0.004228279070137366,-0.0014613229099680466
Likelihood of leaving accom within 6 months,0.004217193826594614,0.0004500033929404537
Household structure,0.004163624270402867,-0.000924166666745811
Employment - 7 groups,0.0041586069717120195,-0.00011224291547617767
"Neighbourhood problems - crime, violence or vandalism",0.004019014826379331,-0.0005243598784273398
A person to get advice from about a personal/family matter,0.003946522925170209,-0.0005299067223355445
How frequently attend religious services?,0.0039276523571435155,-3.3827041586868985e-05
No. of problems with accommodation,0.0038275602905584486,-5.4639280266644124e-05
How much tension between Management and Workers?,0.0038131582034733307,-0.0001497653791860739
Country_Portugal,0.0035999310847446603,0.0006176970829152625
How much tension between different racial/ethnic groups?,0.003541336041753646,1.6764433643673637e-05
Country_Italy,0.0034442881773036208,0.0003084147567777215
