Questions,Value,Direction
How satisfied with family life?,0.2020008666632921,-0.0065970726359964975
How satisfied with present standard of living?,0.15628824014255197,-0.011356536537335206
How satisfied with social life?,0.14469403595199246,-0.0026958885137330526
How satisfied with health?,0.10319620368889434,0.0042134844933527805
How satisfied with accommodation?,0.08658029202229328,-0.0004953597726919558
I am optimistic about the future,0.04966340545291352,0.0023195354420835475
I generally feel that what I do in life is worthwhile,0.0483241689116364,0.001041229408721398
I feel I am free to decide how to live my life,0.044667946644528736,-0.0026920511899451837
Health condition,0.04427170530121796,0.002513903789621955
Deprivation index: No. of items hhold can't afford,0.04281282125424975,0.0016209557502992293
Can't find the way because life has become so complicated?,0.04072282997912337,0.00038295122248176237
How satisfied with education?,0.03763584910650891,-0.0021575220079547964
Household able to make ends meet?,0.03714868277739747,0.0009459954064669191
Quality of education system?,0.03540241672630131,-0.0005408228151586264
Personal financial situation,0.031220410726260587,0.00012070447188172064
How satisfied with economic situation in the country?,0.030557725285491246,-0.0013095311801700246
How much trust the police?,0.02880431328573867,-0.0023656559716689674
The value of what I do is not recognised by others?,0.028646213018667266,-0.0014278306197781701
Quality of health services?,0.02502342219411236,0.00048367266687472356
Can most people be trusted?,0.024579720944584604,-0.0004073162069387879
Feel left out of sociey?,0.022998069043484008,-0.0005573491316653999
Quality of child care services?,0.020690951157016614,-0.0008303097833280641
Can afford to replace any worn-out furniture?,0.020673528547374184,7.685070801656357e-05
How much trust the legal system?,0.020201034088393258,-0.000592883499654086
Can afford to pay for a week's annual holiday away?,0.017864256837087526,-0.0014786274253742702
Quality of state pension system?,0.017756204761293026,-0.0009699523039028593
Quality of long term care services?,0.015727940943756923,0.0008088845010728058
How much trust the parliament?,0.01473150015016132,0.0006739685921364309
"Can afford to buy new, rather than second-hand, clothes?",0.014534206820079004,0.000794553688387694
Access to recreational or green areas?,0.01336346032760518,-0.0006332037326628727
Neighbourhood problems - air quality,0.013081882411449128,-0.00018266183772203235
How frequently take part in sports or exercise?,0.012990802474287109,0.00023477325267219106
Neighbourhood problems - traffic,0.011960489210902507,-0.00023277879481968752
Household financial expectations for th 12 months?,0.011894373158788116,-9.28413810745519e-05
People look down on me because of my job situation or income?,0.01181864827361805,-0.0007222464571358968
How much trust the government?,0.011266429633221905,-0.0008493712954275075
Difficult to see a doctor because of cost?,0.011233454287601956,0.0010428353631760654
Financial situation of your household compared to 12 months ago?,0.011025173095628522,-7.903880150969658e-05
I seldom have time to do the things I really enjoy,0.01060671484137602,-0.0011878951637730342
Difficult to see a doctor because of waiting time?,0.010012392036622846,0.0005140651757781278
Neighbourhood problems - quality of drinking water,0.009729058246395243,-0.0009242601087803513
Neighbourhood problems - litter or rubbish,0.009721560125582184,0.00011688902484749064
Quality of social/municipal housing?,0.009611381580429469,-0.0007563179139293397
Marital status,0.009450880993615714,-0.000986401665793278
"Utility bills, such as electricity, water, gas",0.00937575465733773,0.001009023675462327
Neighbourhood problems - noise,0.009168710139286733,-0.0008295821394924932
How much trust the local authorities?,0.009155554330372887,-0.00040177146267291727
How often care for your children?,0.009109293990990372,-0.0005883142493469976
How frequently use the Internet other than for work?,0.008996041504919177,0.00017659487579907635
Phone/internet contact with other relatives,0.008514696616817509,-0.0005452623450012357
Phone/internet contact with parents,0.008332593465620012,-0.0009017600551933662
Quality of public transport?,0.007652568777729175,-0.000715481906934845
Difficult to see a doctor because of lack of time?,0.0076051426625353856,-2.1857742783751242e-05
How often cook and doing housework?,0.007494016752698413,-0.00014850100818334332
Can afford to have friends or family for a drink/meal at least once a month?,0.0072900200867609365,4.5515821311528363e-05
Access to public transport?,0.00718124053627863,1.8035099855163772e-05
Can afford to keep home adequately warm?,0.006478889856076045,0.0008919645063945932
Direct contact with parents,0.006139339579360802,-0.00022409814604088866
Household size - over 18,0.006110472107938338,0.0002152012558691342
No. of children,0.005997649204171373,-0.0003334292415483592
"Access to cinema, theatre and cultural centre?",0.005948568000530631,-0.00022027555023590667
Access to banking services?,0.005928195515806339,0.00027877729417165564
A person to get support from when feeling depressed,0.005860688113040143,8.178848703628336e-05
Direct contact with other relatives,0.005834777739179278,-2.1437748571289182e-05
Feel close to people in the area where I live,0.005811330581673671,-0.00010197264091325527
Household structure,0.005627815832468376,-0.00026407194060839667
"Neighbourhood problems - crime, violence or vandalism",0.005559153088216094,0.00012220884418007952
Phone/internet contact with neighbours,0.005323223324440454,0.0003315016449636234
Income quartiles,0.005311336319886208,0.00028832300414599355
How many hours per week would you prefer to work at present?,0.005276225932806444,-0.000607097889218174
A person to get support from to raise emergency money,0.005243202807843093,0.0006876508342508912
Age,0.005229185127197158,1.692030004715325e-06
Difficult to see a doctor because of delay in getting appointment?,0.00520411279529928,0.00042312183277099614
Likelihood of leaving accom within 6 months,0.005127151126990412,-0.00016786485081694122
A person to get advice from about a personal/family matter,0.005070544657396331,0.00011091959336154081
Tenure,0.004884372542888187,-0.00010869604137958603
Access to postal services?,0.004841726174249515,0.0001933252166847549
How frequently participate in social activities?,0.004816773288031713,-0.00010551375234996921
Can afford a meal with meat/chicken/fish every second day?,0.0047365690430983464,0.00035547655194894154
How much trust the press?,0.00437325570068585,-0.00048231466568124
No. of rooms in accommodation,0.004349649494890313,-0.00030005630834007015
No. of problems with accommodation,0.004312658784977735,0.0003018126124270485
Difficult to see a doctor because of distance?,0.0043066509196231445,-2.4892851245854514e-05
Employment - 7 groups,0.004302947732016105,-0.0004349400722070378
Education completed,0.004185388818316049,2.2808934589190013e-05
How much tension between Management and Workers?,0.004037478330491551,-0.00024252438566488434
The share of housework you do is?,0.0038233777792159203,-0.0002770087347804351
Gender,0.0037956107699065288,-5.754881806833902e-05
How much tension between Men and Women?,0.003785548072706567,3.3951059846872426e-05
Rural/urban living,0.0037582893444265005,-0.00018124064426697025
As much time as would like on voluntary work?,0.003722805155009061,-0.00010123578765804002
Direct contact with neighbours,0.003661775838152779,-0.00019768643009425787
How much tension between different racial/ethnic groups?,0.003455254420443469,-0.00043095495000888443
Household size,0.003384298293125815,-0.0003368077314309154
As much time as would like on own hobbies/interests?,0.003357736800391724,-9.52188792877726e-05
Direct contact with children,0.003331562642335369,-0.00023134199881538222
As much time as would like with others (not family)?,0.003249081595575401,-6.601652346765572e-05
A person to get support from when looking for a job,0.0031415952202472138,-0.00029491911348615096
How much tension between Old and Young people?,0.0031343490982512524,-0.0004051013725861473
How frequently attend religious services?,0.0031121799168185665,-5.2345228794745215e-05
A person to get support from to help around house ,0.0030679282161754124,0.0004605834378241858
How much tension between different religious groups?,0.0029899258081475468,-0.0003686537314419939
Phone/internet contact with children,0.0028875675313838815,-0.0004472199185182103
How much tension between groups with different sexual orientation?,0.002862311378267125,-0.00023621166241134396
Rent/mortgage payments for accommodation,0.0027862467388365723,-4.0570137960595125e-06
Problems with accommodation - rot in windows etc.,0.0027701236283910143,-2.9753835734366553e-05
As much time as would like with family members?,0.0027041687540877743,-0.0002985639904647899
Payments for consumer loans/credit cards,0.0026960009905302507,-3.851032215732709e-06
Country_Italy,0.002634311569246011,8.002040626226578e-05
How much tension between Poor and Rich?,0.0025239655080141685,-0.00010378754101941961
Volunteering frequency,0.002508173008324197,-2.1214493646340727e-05
Education - 3 groups,0.002505153742890885,6.066735046899898e-06
Country_Turkey,0.0023243127133780665,-0.0003516080668549413
DV: Rural/urban living,0.0022051721505670667,-0.0001984139178097005
How often care for elderly or disabled relatives?,0.0022047580407600006,-0.0003491964443307687
Country_Germany,0.0020525043476158117,0.00021123935252455013
Nobody used long term care in 12 months,0.002036615629165379,-0.00028465604590552005
Chronic health problems?,0.001987651398223322,-0.000541492281299587
Country_Iceland,0.0018463444771201047,-0.000617708475497883
Country group,0.0017813435038347093,-0.0001158767328387134
Country_Kosovo,0.0017700394938697326,0.000738954802580816
Nobody used child care in 12 months,0.0017140475824833558,-0.00014970712774840702
Long term care used in 12 months - don't know,0.0016592456744335751,0.0005966796911180617
Problems with accommodation - no outside space,0.0016213133873196341,-0.00018872997096317168
Country_Portugal,0.001553911649690465,0.0006842459668025714
Country_Greece,0.0015419993719064222,0.0006391468240630185
Country_Romania,0.0014800165056663428,0.00016385321661721548
Problems with accommodation - no toilet,0.0014738090093990236,0.0002642621224082865
Country_Czech Republic,0.001373888192654789,0.00016885130188224067
Country_Slovakia,0.0013459341454449783,5.396515338525089e-05
I or someone else in household used child care in 12 months,0.0013136198244311657,-0.0003235814735240155
Payments for informal loans from friends/relatives,0.001282506357049081,0.00019007298335718147
Problems with accommodation - damp or leaks,0.0012183665829742852,7.78528257534056e-06
Problems with accommodation - space,0.0011780339873152992,-0.00035773097701100455
Someone close outside household used long term care in 12 months,0.0011600537979872968,-4.2827714614559254e-05
Child care used in 12 months - don't know,0.001051766958252989,0.0005117198188710718
Country_Croatia,0.0010026481197818982,-0.00015220972707666672
Problems with accommodation - no bath/shower,0.0009912630103384693,0.0004480140951517138
I or someone else in household used long term care in 12 months,0.000989013748268692,4.440646084442249e-05
Someone close outside household used child care in 12 months,0.0009115030362697057,-0.00023313822542131562
Country_France,0.0008415277552496154,-0.0002263618253818009
Country_Estonia,0.0007749409417303698,0.0001748438324808459
Country_Montenegro,0.0007672662340756604,-0.00022450467781695533
Country_Serbia,0.0007571181250914695,-2.6696408205895088e-05
Country_Macedonia (FYROM),0.0007562955215389603,2.8082632905294894e-05
Country_Poland,0.0007295134565630118,-0.00031462689259770477
Country_Sweden,0.0006803540008028917,-6.610340228616898e-05
Country_Hungary,0.0005820682443677662,-8.888397256636557e-05
Country_Ireland,0.0005526684200502892,-0.00026558546180833196
Country_Slovenia,0.0005501834467314931,0.00020813014319945647
Country_Denmark,0.000518963277662641,-1.9505187763917614e-05
Country_Finland,0.0005144479780492066,-0.00018371798176447293
Country_Cyprus,0.00045848765555242955,-3.6676124911525756e-05
Country_Luxembourg,0.00042466151249199524,0.0002583342383262033
Country_Malta,0.00038501539844829096,0.00019363812318548353
Country_UK,0.0003738259941574372,-8.472857391708093e-05
Citizenship - Country,0.0003707848934988513,-8.48469219191012e-05
Citizenship - Another EU member,0.0003464031205611675,5.5041506182381286e-05
Country_Belgium,0.00032597519181941793,-8.442029525349879e-06
Citizenship - A non-EU country,0.0002849089925142426,4.3832518800502514e-05
Country_Latvia,0.0002682247103381069,0.00012819564443079706
Country_Lithuania,0.000236618230065552,6.596728079508236e-05
Country_Spain,0.00023003640478013945,-8.181478282889109e-05
Country_Bulgaria,0.00022345651625411874,7.811187829066738e-05
Country_Netherlands,0.00019517441906818678,-2.3290683536589074e-05
Child care used in 12 months - refusal,0.0001484765718311666,0.00014325654323624594
Long term care used in 12 months - refusal,2.80167951478466e-05,3.4495145547769243e-06
