Questions,Value,Direction
How satisfied with present standard of living?,0.45114409862345106,-0.0010272283984880254
How satisfied with family life?,0.3621585718922399,-0.016643202329543937
How satisfied with social life?,0.16545114738345915,0.00641288712607305
How satisfied with health?,0.1024937333249505,0.008249795312593249
I am optimistic about the future,0.08438744009133739,0.00823280714221051
Health condition,0.06776148535930401,0.0005591594064764104
I generally feel that what I do in life is worthwhile,0.058758309072879954,-0.0008252616498820128
I feel I am free to decide how to live my life,0.043386300244445085,-0.0029284809720683167
Can most people be trusted?,0.03401687315272385,0.0006988081402969582
Can't find the way because life has become so complicated?,0.032200929846339425,-0.00019858343455970024
Deprivation index: No. of items hhold can't afford,0.026113733338825728,-0.0008284067514226772
How satisfied with accommodation?,0.025658110169538496,0.0011291491128157661
How much trust the police?,0.025276261428286498,-0.003265191710601346
Personal financial situation,0.024829409671659086,0.0025104687090854237
Feel left out of sociey?,0.022093590148672564,-0.0025778820466631066
Access to recreational or green areas?,0.020297156332621007,-0.0021948653809072496
Quality of education system?,0.020292809667853837,-0.0012311864349790463
Household able to make ends meet?,0.018901165921397747,-0.0011952114679023513
Quality of health services?,0.018580975054972103,-2.8386312946369775e-05
How satisfied with economic situation in the country?,0.018527930271053407,-0.005505107581202276
How much trust the parliament?,0.018290742453793127,-0.0009776430472612787
The value of what I do is not recognised by others?,0.018289762164133482,-0.0004872809733108441
Phone/internet contact with parents,0.01807090495212667,-0.0016571714845456098
Neighbourhood problems - traffic,0.017318479180688642,0.0003032514418487175
Phone/internet contact with other relatives,0.016476330539244792,-0.0013955742013424966
Neighbourhood problems - air quality,0.016038605296207365,-0.0004199671948073173
Access to public transport?,0.015833737949545672,-0.0001322048333566968
How often care for your children?,0.01582084089144149,-0.0012636352895728242
Difficult to see a doctor because of cost?,0.01569124491690552,0.0007696051364011222
How satisfied with education?,0.015616002010817451,-0.002323191573392526
Neighbourhood problems - quality of drinking water,0.015526612426953978,-0.0003053308663151317
Quality of long term care services?,0.014655312629486793,-0.0032649666574082817
Marital status,0.014479080022425265,-0.001256629093265336
A person to get support from when feeling depressed,0.0137063799486668,-0.0005880210187199759
Neighbourhood problems - noise,0.013291839864125816,-0.00142034019857019
Quality of social/municipal housing?,0.013064562004677687,-0.0021254848224989517
Quality of state pension system?,0.012987925147057613,-0.0020961888498686066
How much trust the legal system?,0.01217472478687911,-0.000719641643532058
How many hours per week would you prefer to work at present?,0.011040698361727764,-0.0016663371163400562
Direct contact with other relatives,0.01066805455441271,-0.0012540100589468026
Quality of child care services?,0.010203006706604536,-0.00034266045470735624
Financial situation of your household compared to 12 months ago?,0.010199506912139871,3.0531731201392386e-05
Quality of public transport?,0.010120143835738097,0.00019339460936803325
How much trust the local authorities?,0.010117984576312763,-0.00016052210590726646
People look down on me because of my job situation or income?,0.009689909466460098,-0.00013923021759061952
I seldom have time to do the things I really enjoy,0.009549471528187116,-0.0014711324503735624
Neighbourhood problems - litter or rubbish,0.007867642514331209,-0.000416717670029147
